"id","registered_name","active_ingredient","pharmaceutical_form","insurance_list","issuing","atc","license_holder"
"l4lsTjIdmQwoExqhf4aWD13OM3","Cytosar® 1g prašak za rastvor za injekciju","citarabin","prašak za rastvor za injekciju","B","SZ","L01BC01","PREDSTAVNIŠTVO PFIZER H.C.P. CORPORATION, BEOGRAD"
"g15cALNDaMtJr4RVugx4q3hAQk6","Methotrexat Ebewe® 20mg/mL rastvor za injekciju u napunjenom injekcionom špricu","metotreksat","rastvor za injekciju u napunjenom injekcionom špricu","B","SZR","L01BA01","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"RTucWFmOXDJ1OKQjdMCGgBYz3v7","Spiriva® 18mcg prašak za inhalaciju, tvrda kapsula","tiotropijum-bromid","prašak za inhalaciju, tvrda kapsula","A1","R","R03BB04","BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD"
"qBFWVp3A2VPnVp5wCO7Ldzd8FzB","Aciklovir 5% mast","aciklovir","mast","A1","R","D06BB03","UNION-MEDIC D.O.O. NOVI SAD"
"Mclmb9wKJihll4BYcubdd16UicL","Risperidon ADOC 2mg film tableta","risperidon","film tableta","A","R","N05AX08","ADOC D.O.O. BEOGRAD"
"0vhAvvL9or7HH5DwJmQJmVWwkKP","Tafinlar® 50mg kapsula, tvrda","dabrafenib","kapsula, tvrda",,"SZR","L01XE23","PREDSTAVNIŠTVO NOVARTIS PHARMA SERVICES INC. BEOGRAD (NOVI BEOGRAD)"
"WFURKUDEwsRxo5hgwnhPk6sTTOA","Fortrans® 64g+1.46g+0.75g+1.68g+5.7g prašak za oralni rastvor","makrogol, natrijum-hlorid, kalijum-hlorid, natrijum-hidrogenkarbonat, natrijum-sulfat","prašak za oralni rastvor","B","R","A06AD65","PHARMASWISS D.O.O., BEOGRAD"
"tYSE8FhBop3fz9eKsCWSnQYjVYB","Vasilip® 10mg film tableta","simvastatin","film tableta","A+A1","R","C10AA01","KRKA-FARMA D.O.O. BEOGRAD"
"57a5XC2Q3ge3xFpZnk9Mv9dORMT","Alventa® 37.5mg kapsula sa produženim oslobađanjem, tvrda","venlafaksin","kapsula sa produženim oslobađanjem, tvrda",,"R","N06AX16","KRKA-FARMA D.O.O. BEOGRAD"
"WS0VA3yMxdDnT4u05EBT7uc7fvA","Tamsol® 0.4mg kapsula sa produženim oslobađanjem, tvrda","tamsulosin","kapsula sa produženim oslobađanjem, tvrda","A1","R","G04CA02","PHARMASWISS D.O.O., BEOGRAD"
"EVV5GoSUP1qUtR3MfHldS4jCRJE","Citeral® 500mg film tableta","ciprofloksacin","film tableta","A","R","J01MA02","ALKALOID D.O.O. BEOGRAD"
"kS3Oi3RXZMqV05B73jx1OYvzKc6","Irinotesin® 100mg/5mL koncentrat za rastvor za infuziju","irinotekan","koncentrat za rastvor za infuziju","B","SZ","L01XX19","ACTAVIS D.O.O. BEOGRAD"
"AsyQtCZjiEkklNPyilUv2xRmdSH","Tracleer® 125mg film tableta","bosentan","film tableta","A","SZR","C02KX01","MEDIS PHARMA D.O.O. BEOGRAD"
"d2Ua2lVgE9Yt9kzsLzLWOOt8IjK","Konakion® MM 2mg/0.2mL rastvor za injekciju","fitomenadion","rastvor za injekciju","B","Z","B02BA01","ROCHE D.O.O. BEOGRAD"
"ml67q3qryvmPcjjkLuAp9btXXxP","Vinorelbin Ebewe® 10mg/mL koncentrat za rastvor za infuziju","vinorelbin","koncentrat za rastvor za infuziju","B","SZ","L01CA04","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"PXFj1j0D5IePuUzNIW0nnNKmnaU","Indapres® 2.5mg film tableta","indapamid","film tableta",,"R","C03BA11","HEMOFARM AD VRŠAC"
"NYCB4mFBIuGREiy0Caj0RvrBDL5","Solaban® 25mg tableta za oralnu suspenziju","lamotrigin","tableta za oralnu suspenziju",,"R","N03AX09","HEMOFARM AD VRŠAC"
"mCDxxGaBtCqbKwmJheyrtPzexhO","Lodoz® 5mg+6.25mg film tableta","bisoprolol, hidrohlortiazid","film tableta",,"R","C07BB07","MERCK D.O.O. BEOGRAD"
"xpKm2f4M2Ro3HFU8dI1ew29jMGt","Ciprinol® 750mg film tableta","ciprofloksacin","film tableta","A","R","J01MA02","KRKA-FARMA D.O.O. BEOGRAD"
"yZb60ikPBVPasxp778vCsr5dkyG","Ferrovin® 100mg/5mL rastvor za injekciju/infuziju","gvožđe(III)-hidroksid saharoza kompleks","rastvor za injekciju/infuziju","B","SZ",,"PROTON MED D.O.O. BEOGRAD - NOVI BEOGRAD"
"Yt0jqON7Izq4YD1fUN9LIVAUleN","Rovastin® 10mg film tableta","rosuvastatin","film tableta","A+A1","R","C10AA07","ADOC D.O.O. BEOGRAD"
"ahLXgJxOMcwuceLcR6FjZ5TTv1G","Bloxazoc® 190mg tableta sa produženim oslobađanjem","metoprolol","tableta sa produženim oslobađanjem",,"R","C07AB02","KRKA-FARMA D.O.O. BEOGRAD"
"KMroZI2mRVA71JXwXPaisv1SFHP","Exforge® 80mg+5mg film tableta","valsartan, amlodipin","film tableta",,"R","C09DB01","PREDSTAVNIŠTVO NOVARTIS PHARMA SERVICES INC. BEOGRAD (NOVI BEOGRAD)"
"634R8IIMmbF8vDKLLQoUimWUfhB","Atenolol 100mg tableta","atenolol","tableta","A","R","C07AB03","ZDRAVLJE AD LESKOVAC"
"wKiNJRvbj36Joq7W3RMOYrBlR2J","Linola® Fett 8.15mg/g krem","masne kiseline, nezasićene","krem",,"BR",,"MSF PHARM DOO BEOGRAD"
"INvMu37sxB5FGjSysDoKK3jWYo7","Ezoleta® 10mg tableta","ezetimib","tableta","A","R","C10AX09","KRKA-FARMA D.O.O. BEOGRAD"
"5tabKyWmtApmQAi8gL4XwlwQse7","Pramipexole Teva 0.52mg tableta sa produženim oslobađanjem","pramipeksol","tableta sa produženim oslobađanjem",,"R","N04BC05","ACTAVIS D.O.O. BEOGRAD"
"Y9M9qzoM4OOal86YWAX6j2bdt9C","ImmunoHBs 180i.j./1mL rastvor za injekciju","hepatitis B imunoglobulin, humani","rastvor za injekciju","B","Z","J06BB04","MAGNA MEDICA D.O.O. BEOGRAD-NOVI BEOGRAD"
"FvqxXV0w9vsf8o8Y4r0c7lQEm3O","Mirzaten® Q-Tab® 15mg oralna disperzibilna tableta","mirtazapin","oralna disperzibilna tableta","A1","R","N06AX11","KRKA-FARMA D.O.O. BEOGRAD"
"Z0iR1zwSxwspsGHc8P98QWY6oE6","Erynorm® 100mg film tableta","losartan","film tableta","A1","R","C09CA01","HEMOFARM AD VRŠAC"
"UCW2Rm9GiICviEcw4DMNQmIjB4R","Acenokumarol UNION 4mg tableta","acenokumarol","tableta","A1","R","B01AA07","UNION-MEDIC D.O.O. NOVI SAD"
"DKWrOsJ1gFQcBjLV0NsjnWiF7iI","Zoledronate PharmaSwiss 4mg/5mL koncentrat za rastvor za infuziju","zoledronska kiselina","koncentrat za rastvor za infuziju","C","SZ","M05BA08","PHARMASWISS D.O.O., BEOGRAD"
"Qd5tJoJzCGkbrdbYryVmT53sJ9J","Dianeal PD4 1.36%m/v (13.6g/L)+5.38g/L+4.48g/L+0.184g/L+0.051g/L rastvor za peritonealnu dijalizu","glukoza, natrijum-hlorid, natrijum-laktat, kalcijum-hlorid, magnezijum-hlorid","rastvor za peritonealnu dijalizu","B","SZR",,"DIACELL D.O.O. BEOGRAD"
"Vg6K2LVdnDdQNPVzxt3HB0TUoN5","Levitra® 10mg film tableta","vardenafil","film tableta",,"R","G04BE09","BAYER D.O.O. BEOGRAD"
"F2ATBNopdayGFem3uSESXDPpixR","Zemplar® 2mcg kapsula, meka","parikalcitol","kapsula, meka","B","R","H05BX02","PREDSTAVNIŠTVO ABBVIE BIOPHARMACEUTICALS GMBH BEOGRAD-NOVI BEOGRAD"
"Fon4UAPDXsvDnV8A8O0Hm63HyKM","Sinetus® 4mg/5mL oralni rastvor","butamirat","oralni rastvor",,"R","R05DB13","GALENIKA AD BEOGRAD"
"R4azd91kkboNVPhkMyvc90gJiuY","Hypolip 20mg film tableta","atorvastatin","film tableta","A+A1","R","C10AA05","HEMOFARM AD VRŠAC"
"GaeW4PMia83h6rXKR7MwDzgVDpJ","Bronchostop® sine sirup 0.12g/15mL+0.83g/15mL sirup","timijan (Thymus vulgaris L./Thymus zygis L.), suvi ekstrakt herbe, beli slez (Althaea officinalis L.), tečni ekstrakt korena","sirup",,"BR",,"OKTAL PHARMA D.O.O. BEOGRAD"
"vJavXvbcKoYlPxFL6AOiB0YQ46t","Tevabone® 70mg+1mcg tableta+kapsula, meka","alendronska kiselina, alfakalcidol","tableta+kapsula, meka",,"R",,"ACTAVIS D.O.O. BEOGRAD"
"LGp3MMgnb58Yk5cS9dyotVE5sYH","Nimulid® 100mg tableta","nimesulid","tableta",,"R","M01AX17","UTI DOO BEOGRAD"
"IdTL6K5H9z2m0bZuPd0QeDFdx2N","VIGAMOX® 5mg/mL kapi za oči, rastvor","moksifloksacin","kapi za oči, rastvor","A1","R","S01AE07","PREDSTAVNIŠTVO ALCON PHARMACEUTICALS LTD BEOGRAD"
"DInEMfj1EfvuprcY2AqybHbAgqH","Amoxicillin Remedica 500mg kapsula, tvrda","amoksicilin","kapsula, tvrda","A","R","J01CA04","FARMALOGIST D.O.O. BEOGRAD"
"XIKI7joLMGeJDYCk4yRWn7YmdZ","Chirocaine 5mg/mL rastvor za injekciju/koncentrat za rastvor za infuziju","levobupivakain","rastvor za injekciju/koncentrat za rastvor za infuziju","B","SZ","N01BB10","PREDSTAVNIŠTVO ABBVIE BIOPHARMACEUTICALS GMBH BEOGRAD-NOVI BEOGRAD"
"UbbvpvXySUbkPoS8RlppU6TjQnL","Mipecid® 500mg+500mg prašak za rastvor za infuziju","imipenem, cilastatin","prašak za rastvor za infuziju","B","SZ","J01DH51","PHARMASWISS D.O.O., BEOGRAD"
"ZB5snyGj6xVtMVV0T1Kl5Q3xIz5","Meropenem 500mg prašak za rastvor za injekciju/infuziju","meropenem","prašak za rastvor za injekciju/infuziju",,"SZ","J01DH02","ALVOGEN PHARMA D.O.O."
"I9SqydKVwq7e6dcYMiHcjS9HHw7","Nicorette® invisipatch 10mg/16h transdermalni flaster","nikotin","transdermalni flaster",,"BR","N07BA01","PREDSTAVNIŠTVO JOHNSON & JOHNSON S.E. INC. BEOGRAD (NOVI BEOGRAD)"
"69DjHnCzPXJfFdQJ9Y9iInPT24R","Jevtana® 60mg/1.5mL koncentrat i rastvarač za rastvor za infuziju","kabazitaksel","koncentrat i rastvarač za rastvor za infuziju","C","SZ","L01CD04","SANOFI-AVENTIS D.O.O. BEOGRAD"
"sqJwC6CG78F0XnzrnalRzH4Y6ER","Actalor® 10mg tableta","loratadin","tableta",,"BR","R06AX13","ZDRAVLJE AD LESKOVAC"
"7JrfPC8jJ5TzcpVGLV0H4JarvRP","Gentos® 25mg+37.2mg+37.2mg+37.2mg+37.2mg tableta","populus tremuloides trit. D1, serenoa repens (sabal serrulatum) trit.D6, conium maculatum trit. D6, kalium iodatum trit. D12, ferrum picrinicum trit. D12","tableta",,"BR",,"FARMALOGIST D.O.O. BEOGRAD"
"ICtGaVx92t2QJCItoREDYreyRf7","Marocen® 100mg/10mL koncentrat za rastvor za infuziju","ciprofloksacin","koncentrat za rastvor za infuziju","B","SZ","J01MA02","HEMOFARM AD VRŠAC"
"SaSGeSzDkqYnu26ZZqCWEuw5S43","Betaserc® 24mg tableta","betahistin","tableta",,"R","N07CA01","PREDSTAVNIŠTVO BGP PRODUCTS SWITZERLAND GMBH BEOGRAD-NOVI BEOGRAD"
"Q4TMOs8ObZ09ZF93hi33nKlF0aX","VALDOCEF® 500mg kapsula, tvrda","cefadroksil","kapsula, tvrda","A+A1","R","J01DB05","ALKALOID D.O.O. BEOGRAD"
"0yKj5hHF3NiloXgcJjedORKzABE","Tagrisso® 80mg film tableta","osimertinib","film tableta",,"SZR",,"PREDSTAVNIŠTVO ASTRAZENECA UK LIMITED BEOGRAD"
"Pe9OyVyJRsoTN63HdFrJMWKGhNN","Clexane® 2000i.j.anti-Xa/0.2mL rastvor za injekciju u napunjenom injekcionom špricu","enoksaparin-natrijum","rastvor za injekciju u napunjenom injekcionom špricu","B","SZR","B01AB05","SANOFI-AVENTIS D.O.O. BEOGRAD"
"f6A7OXBck3oNc7B5oMyHm89qZsI","Remifemin® 2.5mg tableta","cimicifuga (Cimicifuga racemosa (L.) Nutt.), suvi ekstrakt rizoma","tableta",,"BR",,"GOODWILL PHARMA D.O.O. SUBOTICA"
"KtVwQyDGiQ1cpOI5LHgPpklwHrT","Ciklopiroks UNION 1% krem","ciklopiroks","krem",,"R","D01AE14","UNION-MEDIC D.O.O. NOVI SAD"
"QeOu3hDDJ5T4KXe9UUlONvBdzGQ","Tritace® comp 5mg+25mg tableta","ramipril, hidrohlortiazid","tableta","A","R","C09BA05","SANOFI-AVENTIS D.O.O. BEOGRAD"
"54usDZr3EPaTbvdvROVur5whTy","Moditen® 1mg obložena tableta","flufenazin","obložena tableta","A","R","N05AB02","KRKA-FARMA D.O.O. BEOGRAD"
"N1h8EFdPnj337n0dWvfDCmSJn2F","Monopril® 20mg tableta","fosinopril","tableta","A1","R","C09AA09","PHARMASWISS D.O.O., BEOGRAD"
"s4n8tzFvfVLso7eLkJx5xaTsZCN","Folacin® 5mg tableta","folna kiselina","tableta","A","R","B03BB01","JGL D.O.O. BEOGRAD-SOPOT"
"KqzC30ZRNt7u1fZgW6e34kqgeg1","Regaine® 50mg/g pena za kožu","minoksidil","pena za kožu",,"BR","D11AX01","PREDSTAVNIŠTVO JOHNSON & JOHNSON S.E. INC. BEOGRAD (NOVI BEOGRAD)"
"0ZLknB3eBOl4Bir5TY3oIoJ8iMH","Fentanyl 0.5mg/10mL rastvor za injekciju","fentanil","rastvor za injekciju","B","SZN","N01AH01","PREDSTAVNIŠTVO JANSSEN-CILAG KFT BEOGRAD"
"Fdj0jG9pQCiI2CXckabmX5m3t8E","Velafax® 37.5mg tableta","venlafaksin","tableta","A1","R","N06AX16","TEVA SERBIA D.O.O. BEOGRAD"
"ThoGr4P1uL78aUsrgpltK7sszgG","Valodip® 80mg+5mg film tableta","valsartan, amlodipin","film tableta",,"R","C09DB01","KRKA-FARMA D.O.O. BEOGRAD"
"qeT5RAFBGlHf6UWxspycRBk1NYC","Carboplatin Pfizer 10mg/mL koncentrat za rastvor za infuziju","karboplatin","koncentrat za rastvor za infuziju","B","SZ","L01XA02","PFIZER SRB D.O.O."
"vdM4Ov4AMAS9J5jOS15c3URBdj8","Bisoprolol PharmaS 10mg tableta","bisoprolol","tableta","A","R","C07AB07","PHARMAS D.O.O. BEOGRAD"
"bgPnMVxKawgQXhLNd0JIb9jZLRW","PTU® 100mg tableta","propiltiouracil","tableta","A","R","H03BA02","ALKALOID D.O.O. BEOGRAD"
"XRlvQebSPVZ3ONXf7pF0DhqBDGY","Nurofen® Express 200mg kapsula, meka","ibuprofen","kapsula, meka",,"BR","M01AE01","NELT CO. D.O.O. BEOGRAD"
"fSKKxWUfxcLMtJJtjT5f7tnd1nD","Atoris® 80mg film tableta","atorvastatin","film tableta",,"R","C10AA05","KRKA-FARMA D.O.O. BEOGRAD"
"j8tccxVh8znMAowdar2iEx8vBgD","Spedifen® 400mg granule za oralni rastvor 12x1kom","ibuprofen","granule za oralni rastvor",,"BR","M01AE01","BONIFAR D.O.O. NOVI BEOGRAD"
"meSPp5TUT1i7iEkRBrbt3WLFiR5","Tiramat® 25mg film tableta","topiramat","film tableta","A","R","N03AX11","PREDSTAVNIŠTVO BELUPO, LIJEKOVI I KOZMETIKA D.D., BEOGRAD (VOŽDOVAC)"
"QyX2EUl3lBgBGsN5BiOgNEybKyS","Lata 10mg film tableta","escitalopram","film tableta","A","R","N06AB10","HEMOFARM AD VRŠAC"
"KXdot8HIe9lqZYDmPIMJFvYmKSZ","Aremed® 1mg film tableta","anastrozol","film tableta","A","R","L02BG03","FARMALOGIST D.O.O. BEOGRAD"
"3jfynRNrcomBSs7LKqkm26FIMAT","Fromilid® 500mg film tableta","klaritromicin","film tableta","A+A1","R","J01FA09","KRKA-FARMA D.O.O. BEOGRAD"
"NneVi3In5UAnZRWnkUu2nr9U797","Docetaxel 80mg/4mL koncentrat za rastvor za infuziju","docetaksel","koncentrat za rastvor za infuziju","B","SZ","L01CD02","ACTAVIS D.O.O. BEOGRAD"
"8O4xVo38hrapWxuJHeIMssGbsRO","Glucophage® XR 1000mg tableta sa produženim oslobađanjem","metformin","tableta sa produženim oslobađanjem","A1","R","A10BA02","MERCK D.O.O. BEOGRAD"
"d09Y3jSe4br7C4ZdI3zqOvqvAC7","Sobycor® 10mg film tableta","bisoprolol","film tableta","A","R","C07AB07","KRKA-FARMA D.O.O. BEOGRAD"
"61YI6e0kuT9Me3f0Bnvwk7ZQx8M","Andol® Protect 75 75mg gastrorezistentna tableta","acetilsalicilna kiselina","gastrorezistentna tableta",,"BR","B01AC06","ACTAVIS D.O.O. BEOGRAD"
"lM6RrdAO20AZBBlFYftfbYJGopX","Haldol® depo 50mg/mL rastvor za injekciju","haloperidol","rastvor za injekciju","B","Z","N05AD01","KRKA-FARMA D.O.O. BEOGRAD"
"3S1Ycvlz7sC8ACMam19OmoazyN7","Kventiax® 200mg film tableta","kvetiapin","film tableta","A1","R","N05AH04","KRKA-FARMA D.O.O. BEOGRAD"
"usbo8zW43MtNxz5AktiN5tRhg8","Pentoksifilin UNION 400mg tableta sa modifikovanim oslobađanjem","pentoksifilin","tableta sa modifikovanim oslobađanjem",,"R","C04AD03","UNION-MEDIC D.O.O. NOVI SAD"
"ZnRt4HI85VaAyQdNwClER0RWO2B","Epri® 20mg film tableta","rosuvastatin","film tableta","A+A1","R","C10AA07","ACTAVIS D.O.O. BEOGRAD"
"D8xg1ZRRL56DQLkwJVpJhg9fW06","Iberogast® 15mL/100 mL+10mL/100 mL+10mL/100 mL+10mL/100 mL+10mL/100 mL+10mL/100 mL+20mL/100 mL+5mL/100 mL+10mL/100 mL oralne kapi, rastvor","divlji renac (Iberis amara L.), tečni ekstrakt cele sveže biljke, anđelika (Angelica arhangelica L.), tečni ekstrakt korena, matičnjak (Mellissa officinalis L.), tečni ekstrakt lista, kim (Carum carvi L.), tečni ekstrakt ploda, rusa (Chelidonium majus L.), tečni ekstrakt herbe, sladić (Glycyrrhiza glabra L.), tečni ekstrakt korena, kamilica (Matricaria recutita L.), tečni ekstrakt cveta, nana (Mentha piperita L.), tečni ekstrakt lista, gujina trava (Silybum marianum L.), tečni ekstrakt ploda","oralne kapi, rastvor",,"BR",,"BAYER D.O.O. BEOGRAD"
"rbOKJpunF3UiAYVWi1jwIK2snp8","Lezra® 2.5mg film tableta","letrozol","film tableta","A","R","L02BG04","ZDRAVLJE AD LESKOVAC"
"5NdeTpvXc8n0uszcTZoAzmtfwB3","Lastet Cap. 25 25mg kapsula, meka","etopozid","kapsula, meka","A","SZR","L01CB01","EUROFARM D.O.O. BEOGRAD"
"SW8B1WNHw78tGVOdlBTpsj9CmPM","Methotrexat Ebewe® 5mg tableta","metotreksat","tableta","A","SZR","L04AX01","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"QOlkCjouJWbceya2JIRxdVPvNMJ","Tractocile® 37.5mg/5mL koncentrat za rastvor za infuziju","atosiban","koncentrat za rastvor za infuziju",,"SZ","G02CX01","FERRING PHARMACEUTICALS D.O.O. BEOGRAD-STARI GRAD"
"9cQ5KS2eHPBfOJh51dvg9yQQKFT","Risperidon 4mg film tableta","risperidon","film tableta","A","R","N05AX08","HEMOFARM AD VRŠAC"
"KUzrFSfdS7cW2DsWwDqnErtSD1t","Spedra® 50 50mg tableta","avanafil","tableta",,"R","G04BE10","PREDSTAVNIŠTVO BERLIN-CHEMIE AG BEOGRAD (NOVI BEOGRAD)"
"wStGX1r13CsxH3COfRp9y38n4mM","Elocom® 0.1% krem","mometazon","krem","A1","R","D07AC13","MERCK SHARP & DOHME D.O.O."
"W10c70Dq6CA777z9Dyke5P8rH0H","3cef® 1g prašak za rastvor za injekciju/infuziju","ceftriakson","prašak za rastvor za injekciju/infuziju",,"Z","J01DD04","PHARMASWISS D.O.O., BEOGRAD"
"M3H20px9G8jrlrj2OruxYUBtIZX","Sanval® 5mg film tableta","zolpidem","film tableta","A1","R","N05CF02","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"eiXuuFqMqVhKa3XQKpnyiDi5RBH","Komboglyze® 1000mg+2.5mg film tableta","metformin, saksagliptin","film tableta",,"R","A10BD10","PREDSTAVNIŠTVO ASTRAZENECA UK LIMITED BEOGRAD"
"d6DP01d1bkIJE1pPHbZNiiuXYVR","Diprosalic® 0.5mg/g+30mg/g mast","betametazon, salicilna kiselina","mast",,"R",,"MERCK SHARP & DOHME D.O.O."
"kgb4DpmRmLSSzX0oLKmb0RhkKYK","Docetaxel 20mg/mL koncentrat za rastvor za infuziju","docetaksel","koncentrat za rastvor za infuziju","B","SZ","L01CD02","ACTAVIS D.O.O. BEOGRAD"
"T2dt8pK23TbCoFL0VKUGz6JcHEB","Seroquel® 200mg film tableta","kvetiapin","film tableta",,"R","N05AH04","PREDSTAVNIŠTVO ASTRAZENECA UK LIMITED BEOGRAD"
"HTTIzakYo2nwlmCsS1Ce1SIFLbF","Melogal® 7.5mg tableta","meloksikam","tableta",,"R","M01AC06","GALENIKA AD BEOGRAD"
"xFvavWEpAVC9ZAPgvgW14lzuC8N","UNILAT 50mcg/mL kapi za oči, rastvor","latanoprost","kapi za oči, rastvor",,"R","S01EE01","PREDSTAVNIŠTVO UNIMED PHARMA S.R.O. BEOGRAD (NOVI BEOGRAD)"
"WhWHiYqSNYJNMxlc3dkr8MiZFeJ","Panrazol® 40mg gastrorezistentna tableta","pantoprazol","gastrorezistentna tableta","A+A1","R","A02BC02","ACTAVIS D.O.O. BEOGRAD"
"V4Ad287IwC7RhPoGIpmmkq8H28F","Amaryl® 1mg tableta","glimepirid","tableta",,"R","A10BB12","SANOFI-AVENTIS D.O.O. BEOGRAD"
"D3VKrRG3YDOk8bXBf6gDYKGIQhG","Letrozole PharmaSwiss 2.5mg film tableta","letrozol","film tableta","A","R","L02BG04","PHARMASWISS D.O.O., BEOGRAD"
"j767D0TwhkHcW3JdWyWjit0B0QT","Septanest adrenaline 1/100 000 40mg/mL+0.01mg/mL rastvor za injekciju","artikain, epinefrin","rastvor za injekciju",,"Z","N01BB58","PHARMASWISS D.O.O., BEOGRAD"
"ctt7TqJTVG9S3PUc8ahLUqvMWCE","Trinomia 20mg+100mg+5mg kapsula, tvrda","atorvastatin, acetilsalicilna kiselina, ramipril","kapsula, tvrda",,"R",,"AMICUS SRB D.O.O."
"y0RsnRT6fLUuFXS0p4GqTqaaQyW","Humulin® M3 100i.j./mL suspenzija za injekciju u ulošku","insulin humani","suspenzija za injekciju u ulošku","A","R","A10AD01","PREDSTAVNIŠTVO ELI LILLY (SUISSE) SA, BEOGRAD (NOVI BEOGRAD)"
"T3Zzs10OAXKVe5M1bg6ZsMSU5nV","Brimonidine PharmaSwiss 0.2% kapi za oči, rastvor","brimonidin","kapi za oči, rastvor","A1","R","S01EA05","PHARMASWISS D.O.O., BEOGRAD"
"LMqbxAdnQuDBEZ9qRATXuvA64r2","Elicea® Q-Tab® 5mg oralna disperzibilna tableta","escitalopram","oralna disperzibilna tableta",,"R","N06AB10","KRKA-FARMA D.O.O. BEOGRAD"
"58qFfY7p87Ychc8c7XdRSycCfvZ","Natrii chloridi infundibile compositum 8.6g/L+0.3g/L+0.33g/L rastvor za infuziju","natrijum-hlorid, kalijum-hlorid, kalcijum-hlorid","rastvor za infuziju","B","Z","B05BB01","HEMOFARM AD VRŠAC"
"nYKvUfcra2VZ6GgWwvdkaeAq4d2","Amoksiklav® 2X 875mg+125mg film tableta","amoksicilin, klavulanska kiselina","film tableta","A+A1","R","J01CR02","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"pdyT4x5DsqbcLuJh0AwCcvWhQFI","Zan® 5mg kapsula, tvrda","zaleplon","kapsula, tvrda",,"R",,"PREDSTAVNIŠTVO BELUPO, LIJEKOVI I KOZMETIKA D.D., BEOGRAD (VOŽDOVAC)"
"e7JOBfNugnHWElCgMQCHe64vPP5","Xanax® 0.5mg tableta","alprazolam","tableta",,"R","N05BA12","PFIZER SRB D.O.O."
"bHOzGqeE0ogY0MRcZzz6JjX0RX2","LAMAL® 25mg tableta","lamotrigin","tableta","A","R","N03AX09","ALKALOID D.O.O. BEOGRAD"
"J15efGqD1c8YymgRdc1URTov2F","Zalasta® Q-Tab® 10mg oralna disperzibilna tableta","olanzapin","oralna disperzibilna tableta","A","R","N05AH03","KRKA-FARMA D.O.O. BEOGRAD"
"v0gt1DMTGYc6Rha2JSKt9quX0AL","Vancomycin-MIP® 1000mg prašak za rastvor za infuziju","vankomicin","prašak za rastvor za infuziju","B","SZ","J01XA01","MIP PHARMA D.O.O. BEOGRAD"
"YGHQUuSJRmcbj5xrEVSx0RvWHIT","Rasoltan® 50mg film tableta","losartan","film tableta","A1","R","C09CA01","ACTAVIS D.O.O. BEOGRAD"
"ctUnPE2CRxR6KVC47vEwYQ19Z8J","Amitriptyline 25mg film tableta","amitriptilin","film tableta","A","R","N06AA09","FARMALOGIST D.O.O. BEOGRAD"
"cShXxwNqH9qSNLYmmx0Gd6ae13M","Forxiga® 10mg film tableta","dapagliflozin","film tableta",,"R","A10BX09","PREDSTAVNIŠTVO ASTRAZENECA UK LIMITED BEOGRAD"
"2TbCKLZhopVA4hcty6WdPowMoTE","Limeral® 4mg tableta","glimepirid","tableta","A","R","A10BB12","ZDRAVLJE AD LESKOVAC"
"7ThHc0Z3MopZAes7su9YoXUeJLJ","Ferrum Sandoz® 100mg tableta za žvakanje","gvožđe lll","tableta za žvakanje",,"R","B03AB05","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"Se7MpWaK7frtiZG9rWwRHi0YOpE","Bretaris® Genuair® 322mcg prašak za inhalaciju","aklidinijum-bromid","prašak za inhalaciju","A1","R","R03BB05","PREDSTAVNIŠTVO BERLIN-CHEMIE AG BEOGRAD (NOVI BEOGRAD)"
"LHZkspAYJUhPeAN0C39PIQsl4BX","Teysuno® 15mg+4.35mg+11.8mg kapsula, tvrda","tegafur, gimeracil, oteracil","kapsula, tvrda",,"SZR",,"PROVIDENS D.O.O., BEOGRAD"
"dYhxpeIXDb8kWqXWEmZUNrtUAtP","Euvax B® 10mcg/0.5mL suspenzija za injekciju","vakcina protiv hepatitisa B, rekombinantna","suspenzija za injekciju","B","Z","J07BC01","PHARMA-MAAC DOO BEOGRAD"
"6es3xv6wicHJQ6xpe9zYdB5fArN","Cardiopirin® 100mg gastrorezistentna tableta","acetilsalicilna kiselina","gastrorezistentna tableta",,"BR","B01AC06","PHARMASWISS D.O.O., BEOGRAD"
"bZyH31z2q3ZWHa6PMOij1ei0V06","Omnitrope® 10mg/1.5mL rastvor za injekciju u ulošku","somatropin","rastvor za injekciju u ulošku","A","SZR","H01AC01","PREDSTAVNIŠTVO SANDOZ PHARMACEUTICALS D.D. BEOGRAD"
"ei7AW5QT7I1IJERasvKikuc03HO","Ipertazin 125mg film tableta","bosentan","film tableta",,"SZR","C02KX01","ALVOGEN PHARMA D.O.O."
"QGPx9Fj78rtpG1D7ScyRloc9nV8","Voltaren® Emulgel® 2% 2% gel","diklofenak","gel",,"BR","M02AA15","PREDSTAVNIŠTVO GLAXOSMITHKLINE EXPORT LIMITED, BEOGRAD (NOVI BEOGRAD)"
